Title,Company Name,Experience (yrs),Location,Salary,Job Description,Skills,Date Posted
Full Stack Developer,claim genius inc,3 - 7,Hyderabad/Secunderabad,,"3  years total of experience in SDLCShould have a strong knowledge of Node JS ,  Vue JS ,  and Javascript.Experience in Version Control Systems like GIT ,  Bitbucket.proven Sk","css  ,  html5  ,  problem solving  ,  team player  ,  javascript  ,  database  ,  git  ,  amazon s3  ,  mysql  ,  mvc  ,  software developer",Posted few days ago
Frontend Developer - VueJS,agt electronics ltd,2 - 5,Coimbatore,,"Frontend Developer - VueJS2  years of experience with VUE.JS ,  JAVASCRIPT ,  NODEJSStrong knowledge of Front End web development in Advance JavaScript ( ES6 , ES7 , ES8 , ES9","javascript  ,  nosql  ,  database  ,  git  ,  oops  ,  web development",Posted few days ago
Frontend Developer,ADROIT LEARNING AND MANPOWER PVT LTD,3 - 5,Ahmedabad,,Working : Mon  FriSkills : Frontend  ( 2 Developers  3 to 5 years of experience ) JavaScript / Next.Js / React / React HooksExperience with REST / GraphQLExperience in API Des,"rest  ,  api  ,  javascript  ,  nosql",Posted few days ago
System Administrator,evince technologies,0 - 3,Chennai,,"Roles  & amp; Responsibilities:Good working experience in different cloud services offered by Amazon ( AWS )  ,  Google and AzureSetting Up ReactJS ,  Angular ,  Vue ,  NodeJS","cloud services  ,  python  ,  svn  ,  java  ,  git  ,  php",Posted few days ago
PHP  /  Full stack developer,Doconline Health India,3 - 6,Bengaluru / Bangalore,,"PHP  /  Full stack developer Bangalore ,  IndiaJob Description :Incumbent should have experience in Laravel frameworkShould be able to Understand the requirements  &  Develop","laravel  ,  html5  ,  ajax  ,  jquery  ,  javascript  ,  apache  ,  git  ,  oops  ,  linux  ,  php  ,  json  ,  mysql  ,  mvc",Posted few days ago
Senior PHP Developer,CONNECTING 2 WORK,0 - 3,Thiruvananthapuram,,"Job Description 1. Experience in Framework like Laravel2. Sound Knowledge in Javascript ,  Jquery3. Good to have experienced in Vue ,  NodeJs.4. Participates in all aspects of","laravel  ,  implementation engineer  ,  system development  ,  javascript  ,  jquery",Posted few days ago
Solution Architect -Intelligent Enterprise Solutions Job Details | SAP,SAP Ariba,3 - 10,Bengaluru / Bangalore,,Information TechnologySolution Architect - Intelligent Enterprise SolutionsBring out your bestSAP innovations help more than four hundred thousand customers worldwide work tog,"cloud infrastructure   ,   troubleshooting   ,   java development   ,   ui frameworks   ,   agile project management   ,  information technology  ,  web technologies  ,  abap  ,  it architecture  ,  software design  ,  database  ,  security  ,  git  ,  solution architect  ,  business environment  ,  written communication  ,  project delivery",Posted few days ago
Software Engineer III  ( Senior Java Developer ),PDI Software,5 - 9,Chennai,,"Software Engineer III  ( Senior Java Developer ) Product Development  & amp; Management - Chennai ,  Hyderabad  & amp; Bangalore ,  India - Full TimeAbout PDIFor nearly 40 yea","java development   ,   agile practices   ,   software design   ,   cloud services   ,   communication skills   ,  intellij  ,  oop  ,  devops  ,  data structures  ,  mq  ,  javascript  ,  java developer  ,  messaging  ,  eclipse  ,  nosql  ,  idm  ,  cassandra  ,  fundamentals  ,  algorithms  ,  hibernate  ,  linux  ,  software engineer  ,  rdbms  ,  windows  ,  spring boot",Posted few days ago
Sr. Node JS Developer,phpdots technologies,6 - 9,Ahmedabad,,"About CompanyTuvoc Technologies is a web development company started in 2017 ,  the company has been pretty clear in its vision and mission  the best of technologies woven int","clean coding   ,   server side development   ,   database optimization   ,   ui design   ,   security protocols   ,  html5  ,  storage  ,  web development  ,  mysql  ,  mongodb  ,  javascript  ,  node.js",Posted few days ago
Software Developer Job Details | ExxonMobil,Exxonmobil Company India Pvt Ltd,1 - 9,,,"### Software Developer**Location:** Buenos Aires ,  B ,  AR**Company:** ExxonMobilExxonMobil Business Support Center Argentina S.R.L; empresa afiliada a Exxon Mobil Corporatio","software development  ,   programming languages  ,   cloud platforms  ,   devops principles  ,   code versioning tools   ,  java  ,  software engineering  ,  api  ,  c#  ,  python  ,  github  ,  javascript  ,  nosql  ,  .net  ,  software developer  ,  security  ,  debugging  ,  problem solving  ,  written communication  ,  infrastructure",Posted few days ago
Senior Fullstack Developer Job Details | Vestas,Vestas Wind Technology India Pvt Ltd,8 - 11,Chennai,,"## **Senior Fullstack Developer**- **Requisition ID:** 50841- **Location ( s ) :** Chennai ,  TN ,  IN- **Work experience:** Professional- **Type of position:** Full-Time- **J","fullstack development   ,   javascript frameworks   ,   web design   ,   cloud computing   ,   agile development   ,  css  ,  html5  ,  ajax  ,  devops  ,  nosql  ,  node.js  ,  software requirements  ,  security  ,  git  ,  json  ,  mongodb  ,  mobile  ,  forms",Posted few days ago
UI  /  UX Developer,PiMARQ,6 - 9,Bengaluru / Bangalore,,"Environment:Our Client is an information technology company that works with its U.S counterpart. Youwill be working closely with the founders ,  and developers. Their team has","css  ,  information technology  ,  html5  ,  bootstrap  ,  jquery  ,  react.js  ,  rest  ,  mobile  ,  javascript",Posted few days ago
Full Stack Lead Developer,PiMARQ,15 - 18,Bengaluru / Bangalore,,PiMARQ JD Code: 067Role Name:Full Stack Lead DeveloperAbout Company: Our clientis envisioned as a platform that can deliver analytical business insights while keeping the comp,"c#  ,  css  ,  python  ,  bootstrap  ,  javascript  ,  sql  ,  html",Posted few days ago
"Full Stack Developer  Python ,  Azure",PiMARQ,15 - 18,Bengaluru / Bangalore,,"PiMARQ JD Code: 068Role Name:Full Stack Developer  Python ,  AzureAbout Company: Our clientis envisioned as a platform that can deliver analytical business insights while keep","c#  ,  python  ,  css  ,  bootstrap  ,  javascript  ,  sql  ,  html  ,  angularjs",Posted few days ago
Fullstack Developer,technostacks infotech pvt. ltd.,0 - 3,Ahmedabad,,Fullstack DeveloperRequirements: Work with cross-functional teams and product managers to ideate software solutions.proven experience as a full-stack developer or similar role,"css  ,  mobile  ,  javascript  ,  node.js  ,  html  ,  mysql  ,  angularjs  ,  mongodb",Posted few days ago
Content Writer,vixplor analytics pvt ltd,2 - 5,Kolkata,,"Location: KolkataRequirements:2  years of software development experienceHighly experienced with back-end programming languages ,  such as PHP ,  Python ,  Ruby ,  Java ,  .ne","Software Development   ,   Back end Programming   ,   Security and Data Protection   ,   Front end Languages   ,   Database Technology   ,  python  ,  css  ,  oracle  ,  information technology  ,  javascript  ,  ruby  ,  security  ,  database  ,  php  ,  .net  ,  html  ,  mysql  ,  mongodb",Posted few days ago
Blockchain Developer,Blocklogy Edutech Private limited,1 - 3,Navi Mumbai,,Requirements Experience: 1 to 3 YearsEducation: B.E. / B.Tech / any Graduate with experience is preferable but freshers with good academic record can also applySkills: Experie,"react.js  ,  git  ,  javascript  ,  Experience in Blockchain design",Posted few days ago
Java Script Developer,evince technologies,0 - 3,Chennai,,"Roles  & amp; Responsibilities:- Write clean ,  maintainable and efficient JS code- Design robust ,  scalable and secure features- Contribute in all phases of the development","css  ,  html5  ,  ajax  ,  javascript  ,  jquery  ,  java  ,  xml  ,  json  ,  web development  ,  html",Posted few days ago
Python Developer  ( Django ),Digimonk Technologies,1 - 4,Gwalior,,"At least 1  years experience as Python developerProficient with Django or Flask Framework and MongoDBHave good database structures and algorithm platformKnowledge about OOPS ,","css  ,  jquery  ,  artificial intelligence  ,  database  ,  git  ,  postgresql  ,  oops  ,  debugging  ,  html  ,  mysql  ,  mvc  ,  api  ,  mongodb  ,  python  ,  oracle  ,  svn  ,  machine learning  ,  javascript  ,  django  ,  angularjs",Posted few days ago
PHP Web Developers,templatic,10 - 13,Mumbai,,"Responsibilities Collaborate with some of the best development talent to build custom solutions on WordPress for our enterprise clients.Write efficient ,  robust and reusable","rest  ,  php web developer  ,  css  ,  laravel  ,  wordpress  ,  composer  ,  symfony  ,  ajax  ,  javascript  ,  jquery  ,  git  ,  php  ,  mysql  ,  forms",Posted few days ago
Mean Stack Developer,CONNECTING 2 WORK,0 - 3,Thiruvananthapuram,,Job Description Job Description Define application objectives by analysing user requirements. Design and create database schema for applications. Create and maintain web / mob,"javascript  ,  nosql  ,  sql  ,  react.js  ,  database  ,  node.js  ,  mqtt  ,  php  ,  api  ,  angularjs  ,  express.js  ,  mongodb  ,  couchdb",Posted few days ago
PHP Developer,CONNECTING 2 WORK,2 - 5,Cochin/ Kochi/ Ernakulam,,"Job Description We are looking for a PHP developer with 2  years of experienceRequirements:1. Experience in Framework like Laravel2. Sound Knowledge in Javascript ,  Jquery3.","laravel  ,  php developer  ,  javascript  ,  jquery",Posted few days ago
AVP Software Engineer  ( Java Full stack Developer ),Moody's Corporation,10 - 13,Bengaluru / Bangalore,,"### - **Experience Level:** Experienced Hire- **Categories:** Engineering  & amp; Technology- **Location ( s ) :** Quay Building 8th Floor ,  Bagmane Tech Park ,  Bengaluru ,","software development   ,   java   ,   angularjs   ,   rest api   ,   agile methodologies   ,  css  ,  soa  ,  spring  ,  html  ,  mysql  ,  oracle  ,  sybase  ,  maven  ,  javascript  ,  web technologies  ,  hibernate  ,  docker  ,  mongodb  ,  junit  ,  service oriented architecture",Posted few days ago
UX Developer,aci infotech,3 - 5,Mumbai,,"### : UX Developer**Location:** Remote ,  Mumbai**Job Summary:**We are seeking a skilled UX Developer with proven experience in driving the development of cloud-hosted scalabl","Cloud development   ,   JavaScript   ,   Typescript   ,   React   ,   REST integration   ,  rest  ,  algorithms  ,  javascript  ,  devops  ,  web development  ,  data structures",Posted few days ago
.net - Sr. Developer,vrize,5 - 8,,,"##  .net - Sr. Developer**Main Accountabilities:**- Researching ,  designing ,  implementing and managing software programs.- Testing and evaluating new programs.- Identifying","c#  ,  javascript  ,  database  ,  .net  ,  software engineer  ,  mysql",Posted few days ago
laptop Frontend Software Engineer,Mobishaala,2 - 5,"Delhi,  Delhi/NCR",,"Attitude for getting things done.Experience building web applications ,  Single page applications and PWAs.demonstrated ability to learn new technologies and keep abreast of t","css  ,  mobile  ,  javascript  ,  grunt  ,  git  ,  software engineer",Posted few days ago
Full-Stack Developer - Python,ULTISOURCE Pvt Ltd.,5 - 8,Mumbai,,Provide technical leadership to the team and guidance to the Director of Engineering.Lead and participate in reviews with peers and stakeholders to decide solution architectur,"algorithms  ,  css  ,  software design  ,  bootstrap  ,  git  ,  html  ,  data structures  ,  python  ,  director  ,  javascript  ,  django",Posted few days ago
Senior Rails Developer,Spork Labs,3 - 7,Bengaluru / Bangalore,,What are we looking for? Relevant Rails development experience of more than 3 years.design and develop back-end applications.develop back-end code that adheres to architectura,"product delivery  ,  postgresql  ,  devops  ,  mysql  ,  cloud computing",Posted few days ago
Python Django Developer,global invisions consulting,1 - 4,"Cochin/ Kochi/ Ernakulam,  Other City(s) in Kerala",,Job Description Were looking for python developer experienced in Django web framework. Responsibilities will include bridging the gap between design and technical implementati,"python   ,   django   ,   api development   ,   front end technologies   ,   git   ,  rest  ,  html5  ,  mobile  ,  problem solving  ,  javascript  ,  react.js  ,  infrastructure  ,  json",Posted few days ago
Website Project Manager,Geek Online Ventures Pvt LTD.,3 - 4,Bengaluru / Bangalore,,Website Project ManagerGeek Creative Agency is looking for Website Project Manager.With 3-4 years of experience in managing web development projects.Job Description :Follow th,"css  ,  laravel  ,  python  ,  react.js  ,  php  ,  web development  ,  html  ,  magento",Posted few days ago
Quality Assurance Engineer,decabits software,5 - 8,Bengaluru / Bangalore,,"Position: Quality Assurance EngineerDecabits Software is a services-based company and a startup incubator ,  handling projects of top-notch companies based out of US ,  UK ,","regression testing  ,  manual testing  ,  test case management  ,  stress testing  ,  website testing  ,  qa  ,  selenium  ,  debugging  ,  api testing",Posted few days ago
Backend Fullstack Developer,CRIMSON INTERACTIVE PVT LTD,3 - 5,Mumbai,,":We are looking for a Rockstar Full Stack Engineer with experience in building high-performing ,  scalable ,  enterprise-grade applications with hands-on knowledge on Java  (","algorithms  ,  rest api  ,  java  ,  apache  ,  python  ,  spring boot  ,  django",Posted few days ago
Full stack Developer,indea design systems pvt ltd,2 - 5,Mangalore,,Full Stack DeveloperPosition : Full Stack DeveloperQualification : Master's or Bachelor's DegreeSkill : ReactJS / NodeJSExperience : 2  YearsBenefits :As a part of the Indea D,"rest  ,  css  ,  laravel  ,  ajax  ,  jquery  ,  javascript  ,  security  ,  database  ,  php  ,  html  ,  mysql  ,  mongodb",Posted few days ago
PHP Developer,indea design systems pvt ltd,2 - 5,Mangalore,,"PHP DeveloperPosition: PHP DeveloperQualification: Master's or Bachelors DegreeExperience: 2 - 5 YearsBenefits: As a part of the Indea Design team ,  you will receive invaluab","css  ,  laravel  ,  php developer  ,  ajax  ,  jquery  ,  javascript  ,  react.js  ,  node.js  ,  database  ,  git  ,  php  ,  html  ,  mysql",Posted few days ago
Solution Architect,Algoworks,3 - 6,Noida/Greater Noida,,"## ### Must have:- Deep understanding of web frontend and mobile development technologies ,  including languages such as JavaScript ,  HTML ,  and CSS ,  as well as frameworks","css  ,  cloud services  ,  solution architect  ,  mobile  ,  javascript  ,  html  ,  web development  ,  cloud computing",Posted few days ago
UIReactDeveloper,echidna software pvt ltd,3 - 6,Bengaluru / Bangalore,,"DescriptionRoles  &  Responsibilities3  years of professional experience as a Front End developer;Minimum 2 year of hands on React ,  GraphQL ,  NodeJS development experience;","rest  ,  css  ,  problem solving  ,  bootstrap  ,  javascript  ,  git  ,  debugging  ,  html  ,  angularjs",Posted few days ago
Front End Developer,destiny hr group services,1 - 3,Noida/Greater Noida,,"## ### ROLE EXPECTATIONS:- Must have experience in HTML ,  CSS ,  SCSS and bootstrap / any other framework- Excellent understanding of HTML5 ,  CSS ,  JavaScript- Knowledge of","css  ,  html5  ,  bootstrap  ,  file system  ,  javascript  ,  infrastructure  ,  html  ,  api",Posted few days ago
Front End Developer  ( ReactJS ),destiny hr group services,1 - 3,Noida/Greater Noida,,"ROLE EXPECTATIONS:Must have experience in HTML ,  CSS ,  SCSS and bootstrap / any other frameworkExcellent understanding of HTML5 ,  CSS ,  JavaScriptKnowledge of any frontend","css  ,  html5  ,  bootstrap  ,  file system  ,  javascript  ,  infrastructure  ,  html  ,  api",Posted few days ago
Front End Developer  ( ReactJS ),destiny hr group services,1 - 3,Noida/Greater Noida,,"## ### Role Expectations:- Must have experience in HTML ,  CSS ,  SCSS and bootstrap / any other framework- Excellent understanding of HTML5 ,  CSS ,  JavaScript- Knowledge of","css  ,  html5  ,  bootstrap  ,  file system  ,  javascript  ,  infrastructure  ,  html  ,  api",Posted few days ago
Junior Front End Developer  ( ReactJS ),destiny hr group services,0 - 1,Noida/Greater Noida,,"- Must have knowledge in HTML ,  CSS ,  SCSS ,  and bootstrap / any other framework- Excellent understanding of HTML5 ,  CSS ,  JavaScript- Knowledge of any frontend framework","css  ,  html5  ,  bootstrap  ,  file system  ,  javascript  ,  infrastructure  ,  html  ,  api",Posted few days ago
Front End Developer  ( ReactJS,destiny hr group services,2 - 5,Noida/Greater Noida,,"Designation: Front End Developer  ( ReactJS ) Must have experience in HTML ,  CSS ,  SCSS and bootstrap / any other frameworkExcellent understanding of HTML5 ,  CSS ,  JavaScr","css  ,  html5  ,  bootstrap  ,  file system  ,  javascript  ,  infrastructure  ,  html  ,  api",Posted few days ago
PHP Laravel Developer,3rd digital pvt ltd,2 - 3,Ahmedabad,,"If you are passionate about technology ,  constantly seeking to learn and improve skillset ,  then you are the type of person we are looking for!We are offering superb career","rest  ,  laravel  ,  css  ,  github  ,  node.js  ,  php  ,  html  ,  technical skills  ,  soap",Posted few days ago
WordPress Developers,templatic,10 - 13,Mumbai,,"Hiring WordPress Developers Templatic is one of the most popular ,  pioneer in WordPress themes since 10  years catering hundreds of thousands of customers worldwide. We have","css  ,  wordpress  ,  ajax  ,  jquery  ,  git  ,  apache  ,  mysql  ,  html  ,  rest  ,  composer  ,  javascript  ,  php  ,  forms",Posted few days ago
Lead Front-end Developer,CONNECTING 2 WORK,5 - 8,Thiruvananthapuram,,"Job Description Job brief: We are looking for a qualified Lead Front-end Developer to join our IT team.If youre interested in creating modern ,  fast and user friendly interfa","laravel  ,  html5  ,  team player  ,  javascript  ,  git  ,  php",Posted few days ago
Systems Analyst-II,full potential solutions,3 - 10,,,"## - Analyze user requirements ,  procedures ,  and problems to automate or improve existing systems and review computer system capabilities ,  workflow ,  and scheduling limi","information technology  ,  software engineering  ,  mvc  ,  c#  ,  python  ,  javascript  ,  angularjs  ,  java programming",Posted few days ago
Senior Developer,CONNECTING 2 WORK,3 - 6,Thiruvananthapuram,,"Develop high-quality web applications by leveraging state of the art web technologies and frameworks.Ensure user experience ,  availability ,  scalability ,  responsiveness ,","python  ,  docker  ,  spring boot  ,  security  ,  java  ,  git  ,  django  ,  web technologies  ,  php  ,  html",Posted few days ago
Full Stack Developer,WGBL India Pvt. Ltd.,3 - 6,Pune,,"Full Stack Developer:  ( 3  years experience ) We're looking for a Full Stack developer who will take a key role on our team ,  must be keen about latest technologies and work","fundamentals  ,  css  ,  scala  ,  bootstrap  ,  ajax  ,  jquery  ,  grunt  ,  database  ,  java  ,  git  ,  apache  ,  postgresql  ,  html  ,  mysql  ,  api  ,  mongodb  ,  rest  ,  mobile  ,  javascript  ,  ruby  ,  node.js  ,  angularjs",Posted few days ago
Senior Software Engineer - Front End,Veeva Systems,5 - 8,,,"We are looking for a Front-end Software Engineer who is eager to build in a fast-paced ,  startup environment inside a stable ,  profitable company. Our teams are solving comp","css  ,  senior software engineer  ,  java  ,  git  ,  software engineer  ,  san  ,  junit  ,  team player  ,  javascript  ,  gradle",Posted few days ago
UI Architect - Platform,Veeva Systems,12 - 15,,,"We are the first public company to become a . As a PBC ,  we are committed to making the industries we serve more productive ,  and we are committed to creating high-quality e","java  ,  software engineer  ,  api  ,  hadoop  ,  big data  ,  san  ,  python  ,  rdbms  ,  mapreduce  ,  infrastructure",Posted few days ago
UI Architect - Platform,Veeva Systems,12 - 15,,,"We are the first public company to become a . As a PBC ,  we are committed to making the industries we serve more productive ,  and we are committed to creating high-quality e","java  ,  software engineer  ,  api  ,  hadoop  ,  big data  ,  san  ,  python  ,  rdbms  ,  mapreduce  ,  infrastructure",Posted few days ago
Senior Software Engineer - Front End,Veeva Systems,5 - 8,,,Veeva is a company which means that you can choose to work in the environment that works best for you - on any given day. Whether you choose to work remotely from home or in o,"css  ,  bi  ,  senior software engineer  ,  java  ,  git  ,  san  ,  junit  ,  team player  ,  javascript  ,  gradle",Posted few days ago
Principal Software Engineer - Front End,Veeva Systems,12 - 15,,,As a Principal Software Engineer- Front End you will help innovate and streamline how Veeva builds and deploy applications that are being used by tens of thousands of people e,"css  ,  bi  ,  software engineer  ,  html  ,  san  ,  javascript",Posted few days ago
Principal Software Engineer - Front End,Veeva Systems,12 - 15,,,As a Principal Software Engineer- Front End you will help innovate and streamline how Veeva builds and deploy applications that are being used by tens of thousands of people e,"css  ,  software engineer  ,  html  ,  san  ,  javascript",Posted few days ago
Full Stack Developer,mozilor technologies,2 - 5,"Calicut/ Kozhikode,  Cochin/ Kochi/ Ernakulam",,# We are looking for a Full Stack Developer to produce scalable software solutions. Youll be part of a cross-functional team that's responsible for the full software developme,"rest  ,  hosting  ,  team player  ,  svn  ,  javascript  ,  node.js  ,  git  ,  cassandra  ,  php  ,  mysql  ,  mongodb",Posted few days ago
CI / CD Developer,Saggio Insurance Marketing Pvt Ltd,4 - 7,"Delhi,  Delhi/NCR,  Kolkata,  Pune,  Bengaluru / Bangalore",,"Qualification: Bachelors or above degree in Telecommunications ,  Electronic Engineering or Computer Science.Employment Type: Full Time  ( TRANSTRACK ) Desirable: The CI  &  C","docker  ,  git  ,  java  ,  devops  ,  web development  ,  perl  ,  vms  ,  python  ,  linux operating system  ,  software delivery  ,  groovy",Posted few days ago
Shopify Developer,stagebit,0 - 3,Surat,,We are actively looking for experienced Shopify developers who have a solid understanding of the core functionalities of Shopify and Shopify Plus and can handle multiple proje,"css  ,  composer  ,  svn  ,  team player  ,  node.js  ,  shopify  ,  git  ,  php  ,  html  ,  api  ,  mvc  ,  technical skills",Posted few days ago
Full Stack Developer - Node.js / Javascript,decabits software,0 - 3,Delhi,,"### **Company:** Decabits SoftwareDecabits Software is a services-based company and a start incubator ,  handling projects of top-notch companies based out of US ,  UK and Aus","css  ,  github  ,  html5  ,  team player  ,  bootstrap  ,  javascript  ,  jquery  ,  node.js  ,  git  ,  mysql  ,  api",Posted few days ago
Software Developer  ( Frontend Engineer ),Coverfox.com,0 - 3,"Mumbai,  Bengaluru / Bangalore",,The role of software developer  ( frontend )  is to work closely on UI / UX and development aspects with the product team on various insurance solution products and features t,"c#  ,  html5  ,  svn  ,  knockoutjs  ,  javascript  ,  react.js  ,  java  ,  git  ,  debugging  ,  json  ,  software developer",Posted few days ago
NodeJS Developer,College dunia web pvt ltd,1 - 4,Gurgaon,,":ABOUT YOUR NEW COMPANY !!Collegedunia is India's Largest College Discovery Platform and Personal Admission assistant. We are an education portal ,  matching students with the","python  ,  css  ,  mobile  ,  storage  ,  javascript  ,  security  ,  database  ,  node.js  ,  git  ,  mysql  ,  html  ,  mongodb",Posted few days ago
Python Backend Engineer,CRIMSON INTERACTIVE PVT LTD,3 - 5,Mumbai,,"Python Backend Engineer 2We are a bunch of passionate researchers ,  engineers ,  and designers who cametogether to build a product that can revolutionize the way any research","algorithms  ,  java  ,  apache  ,  cloud computing  ,  rest  ,  python  ,  spring boot  ,  django",Posted few days ago
Full Stack Developer,InstaaCoders Technologies,6 - 9,Noida/Greater Noida,,"Job description Instaacoders is seeking an innovative ,  talented Fullstack Developer to drive the development of its online commerce division ,  with the responsibility for d","css  ,  information technology  ,  soa  ,  react.js  ,  git  ,  debugging  ,  html  ,  python  ,  rdbms  ,  javascript  ,  nosql  ,  php  ,  service oriented architecture",Posted few days ago
Front-End  /  GUI Developer c#,ion trading india pvt. ltd.,5 - 8,Noida/Greater Noida,,"Your roleYou will own  ( typically multiple months-long )  development projects end-to-end at the forefront of one of the most exciting areas in fintech ,  from conception thr","software design  ,  sql  ,  mvvm  ,  git  ,  software engineering  ,  c#  ,  javascript  ,  infrastructure  ,  web technologies",Posted few days ago
Frontend Javascript Developer,Aertrip,5 - 8,Mumbai,,"Opportunity : We are looking for Frontend Developers  ( Javascript )  who are passionate about solving problems. We offer a result-driven ,  fun ,  and dynamic environment. So","algorithms  ,  css  ,  jquery  ,  docker  ,  javascript developer  ,  git  ,  linux  ,  debugging  ,  mysql  ,  html  ,  data structures  ,  mongodb  ,  problem solving  ,  team player  ,  javascript  ,  php",Posted few days ago
Sr Front end Developer for .net Application with Angular or React JS,Addis Infotech,0 - 3,Ahmedabad,,"The Senior Front End Developer will be responsible for: Helping develop ,  maintain and govern GUI standardsfor applications.Supporting projects with special / complex GUI imp","testing  ,  mobile  ,  usability  ,  automation tools  ,  ui  ,  writing  ,  mobile applications  ,  gui",Posted few days ago
Technical Lead,ADROIT LEARNING AND MANPOWER PVT LTD,10 - 15,Mumbai,,### - Participate in process flow analysis and process redesign along with the Regional Client Engagement Manager  /  Project Manager- Produce a detailed technical design docu,"sql  ,  database  ,  xml  ,  asp.net  ,  json  ,  software engineering  ,  cloud computing  ,  pl  /  sql  ,  c#  ,  cloud services  ,  entity framework  ,  mvc architecture  ,  soap",Posted few days ago
Implementation Executive,Bestdoc,0 - 3,Cochin/ Kochi/ Ernakulam,,Implementation EngineerThis position is part of the BestDoc Implementation group reporting into the Implementation manager. The purpose of this position is to implement and pr,"implementation manager  ,  linux  ,  implementation engineer  ,  problem solving  ,  windows  ,  javascript",Posted few days ago
Senior Dot Net Developer,destiny hr group services,5 - 8,"Delhi,  Delhi/NCR",,"Required Skills and Experiences:Build new systems with .net 4.0  /  ASP.net /  VB.net / NET 5 ,  .net CORE  /  SQL Server  /  WCF Web Services  /  WCF Data Services.develop ne","css  ,  soa  ,  hosting  ,  ado.net  ,  bootstrap  ,  vb.net  ,  ajax  ,  jquery  ,  oop  ,  memory management  ,  asp.net  ,  html  ,  web api  ,  mvc  ,  entity framework  ,  telerik  ,  kendo ui  ,  javascript  ,  software implementation  ,  .net",Posted few days ago
Full Stack Developer  ( Dot Net Core - Angular ),destiny hr group services,3 - 7,Noida/Greater Noida,,"### **Responsibilities:****What you will do:**- Build and maintain our Material Selection Platform.- Develop in Microsoft .net Core including c# ,  ASP.net MVC ,  Web API ,  E","css  ,  html5  ,  rest api  ,  sql  ,  docker  ,  microsoft .net  ,  asp.net  ,  debugging  ,  json  ,  web api  ,  html  ,  mvc  ,  api  ,  c#  ,  rest  ,  entity framework  ,  javascript  ,  linq  ,  .net  ,  sql database",Posted few days ago
Software Engineer | Sr. Software Engineer | Technical Lead | Technical Architect,2Soft Solutions Pvt. Ltd.,2 - 10,Navi Mumbai,,":We are hiring for multiple positions for our reputed US based client at Vashi ,  Navi Mumbai. Kindly review technical skills and apply with suitable details.Technical Archite",",  net development   ,   asp   ,  net mvc   ,   c#   ,   entity framework   ,   javascript   ,  aop  ,  ajax  ,  jquery  ,  debugging  ,  software engineer  ,  technical skills  ,  asp .net  ,  ioc",Posted few days ago
Technical Lead  Clusters UI,CONNECTING 2 WORK,6 - 9,Thiruvananthapuram,,Job Description MissionLead the architecture and development of the Databricks frontend for Apache Spark configuration and management. Bridge the gap between UX design and tec,"algorithms  ,  css  ,  scala  ,  apache  ,  java  ,  data structures  ,  html  ,  python  ,  problem solving  ,  javascript  ,  web technologies",Posted few days ago
Sr. Full-Stack Developer- Bangalore- 6-8 years- 1.5 Lakhs Per month - Angel  &  Genie,Angel and Genie,6 - 12,Bengaluru / Bangalore,,Job Category: Full-Stack DeveloperJob Type: Full-timeJob Location: [Location]Salary: CompetitiveYears of Experience: [Minimum 6 years]Collaborate with cross-functional teams t,"full stack development  front end technologies  back end technologies  database management  version control systems   ,  css  ,  sql  ,  git  ,  postgresql  ,  heroku  ,  debugging  ,  html  ,  mysql  ,  mongodb  ,  python  ,  laravel  ,  mobile  ,  javascript  ,  ruby  ,  nosql  ,  node.js",Posted few days ago
CodeIgniter Developer,Z Index,1 - 4,Rajkot,,We are looking for an experienced CodeIgniter developer.check more information about your responsibility and qualifications and professional experience blow.beNEFITS1 )  Excel,"css  ,  rest api  ,  jquery  ,  sql  ,  git  ,  codeigniter  ,  games  ,  html  ,  mysql  ,  api  ,  javascript  ,  php",Posted few days ago
Laravel Developer,Z Index,1 - 4,Rajkot,,We are looking for experienced laravel developer.check more information about your responsibility and qualifications and professional experience blow.beNEFITS1 )  Excellent Sa,"css  ,  rest api  ,  jquery  ,  sql  ,  git  ,  games  ,  html  ,  mysql  ,  api  ,  laravel  ,  javascript  ,  written communication  ,  php",Posted few days ago
Web Application Developer,NetEdge Computing Solutions Pvt. Ltd.,2 - 3,Ahmedabad,,Designation: .net Developer  . NET Programmer 2  3 Years ExperienceWe are looking for a Senior .net Developer to join our Tech Team and build functional applic,"lucene  ,  storage  ,  sql  ,  database  ,  git  ,  devops  ,  debugging  ,  c#  ,  .net developer  ,  . net  ,  .net",Posted few days ago
Web Application Developer,NetEdge Computing Solutions Pvt. Ltd.,2 - 4,Ahmedabad,,"Designation: UI Front End Developer  We are looking for an experienced and creative UI Designer / Frontend Developer to join our team ,  who is motivated to co","front end developer  ,  ui designer  ,  prototyping  ,  ux  ,  photoshop  ,  user experience  ,  designing  ,  wireframes  ,  css3  ,  illustrator",Posted few days ago
VueJs Developer,CONNECTING 2 WORK,3 - 6,Thiruvananthapuram,,Job Description We are hiring a skilled Vue Js Developer with 2  years of experienceBasic Qualifications: Should have proper communication skills. 3  years of experience in vu,"css  ,  rest api  ,  svn  ,  javascript  ,  git  ,  debugging  ,  html",Posted few days ago
